Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Total,"308,745,538","151,781,326","156,964,212","308,758,105","151,788,777","156,969,328","309,338,421","152,082,993","157,255,428","311,644,280","153,242,210","158,402,070","313,993,272","154,452,348","159,540,924","316,234,505","155,596,820","160,637,685","160,637,685","318,622,525","156,807,419","161,815,106","321,039,839","158,048,153","162,991,686","323,405,935","159,243,817","164,162,118","325,719,178","160,408,119","165,311,059"
0,"3,944,153","2,014,276","1,929,877","3,944,160","2,014,278","1,929,882","3,951,454","2,018,489","1,932,965","3,962,971","2,028,365","1,934,606","3,926,486","2,007,687","1,918,799","3,931,208","2,009,717","1,921,491","1,921,491","3,954,725","2,024,473","1,930,252","3,984,294","2,037,837","1,946,457","3,955,377","2,021,764","1,933,613","3,939,295","2,015,150","1,924,145"
1,"3,978,070","2,030,853","1,947,217","3,978,090","2,030,861","1,947,229","3,957,695","2,020,238","1,937,457","3,966,056","2,025,239","1,940,817","3,977,264","2,035,061","1,942,203","3,942,441","2,015,564","1,926,877","1,926,877","3,948,689","2,018,408","1,930,281","3,973,189","2,033,678","1,939,511","4,004,017","2,047,678","1,956,339","3,975,252","2,031,718","1,943,534"
2,"4,096,929","2,092,198","2,004,731","4,096,939","2,092,202","2,004,737","4,090,616","2,088,564","2,002,052","3,970,491","2,026,382","1,944,109","3,978,648","2,031,249","1,947,399","3,991,295","2,041,998","1,949,297","1,949,297","3,958,296","2,023,505","1,934,791","3,965,536","2,026,909","1,938,627","3,990,991","2,042,666","1,948,325","4,021,775","2,056,625","1,965,150"
3,"4,119,040","2,104,550","2,014,490","4,119,051","2,104,555","2,014,496","4,111,682","2,101,148","2,010,534","4,101,643","2,093,834","2,007,809","3,981,321","2,031,539","1,949,782","3,990,699","2,036,967","1,953,732","1,953,732","4,005,424","2,048,966","1,956,458","3,973,376","2,030,982","1,942,394","3,981,326","2,034,744","1,946,582","4,006,755","2,050,474","1,956,281"
4,"4,063,170","2,077,550","1,985,620","4,063,186","2,077,556","1,985,630","4,077,326","2,084,202","1,993,124","4,121,485","2,105,860","2,015,625","4,111,444","2,098,540","2,012,904","3,992,298","2,036,784","1,955,514","1,955,514","4,003,684","2,043,405","1,960,279","4,019,335","2,055,928","1,963,407","3,987,866","2,038,254","1,949,612","3,995,783","2,042,001","1,953,782"
5,"4,056,858","2,072,094","1,984,764","4,056,872","2,072,102","1,984,770","4,064,480","2,076,475","1,988,005","4,087,056","2,089,050","1,998,006","4,131,048","2,110,656","2,020,392","4,121,794","2,103,643","2,018,151","2,018,151","4,004,373","2,042,817","1,961,556","4,016,658","2,049,934","1,966,724","4,032,787","2,062,721","1,970,066","4,001,318","2,045,050","1,956,268"
6,"4,066,381","2,075,319","1,991,062","4,066,412","2,075,330","1,991,082","4,072,889","2,079,359","1,993,530","4,074,516","2,081,492","1,993,024","4,096,654","2,093,913","2,002,741","4,141,144","2,115,743","2,025,401","2,025,401","4,133,300","2,109,439","2,023,861","4,016,732","2,049,080","1,967,652","4,029,444","2,056,429","1,973,015","4,045,532","2,069,201","1,976,331"
7,"4,030,579","2,057,076","1,973,503","4,030,594","2,057,082","1,973,512","4,042,967","2,063,096","1,979,871","4,082,870","2,084,146","1,998,724","4,084,201","2,086,119","1,998,082","4,106,863","2,098,837","2,008,026","2,008,026","4,152,751","2,121,568","2,031,183","4,145,829","2,115,766","2,030,063","4,029,700","2,055,671","1,974,029","4,042,379","2,063,003","1,979,376"
