Year,State,Question,% Value
2016,Kentucky,Current smoking among adults aged >= 18 years,24.5
2016,Wisconsin,Current smoking among adults aged >= 18 years,17.1
2016,Wyoming,Current smoking among adults aged >= 18 years,18.9
2016,Louisiana,Current smoking among adults aged >= 18 years,22.8
2016,Guam,Current smoking among adults aged >= 18 years,25.1
2016,Maine,Current smoking among adults aged >= 18 years,19.8
2016,Maryland,Current smoking among adults aged >= 18 years,13.7
2016,Massachusetts,Current smoking among adults aged >= 18 years,13.6
2016,Michigan,Current smoking among adults aged >= 18 years,20.4
2016,Minnesota,Current smoking among adults aged >= 18 years,15.2
2016,Mississippi,Current smoking among adults aged >= 18 years,22.7
2016,Puerto Rico,Current smoking among adults aged >= 18 years,10.6
2016,Missouri,Current smoking among adults aged >= 18 years,22.1
2016,Virgin Islands,Current smoking among adults aged >= 18 years,6.6
2016,Montana,Current smoking among adults aged >= 18 years,18.5
2016,Nebraska,Current smoking among adults aged >= 18 years,17
2016,Kentucky,Current smoking among adults aged >= 18 years,25
2016,Nevada,Current smoking among adults aged >= 18 years,16.5
2016,New Hampshire,Current smoking among adults aged >= 18 years,18
2016,Louisiana,Current smoking among adults aged >= 18 years,25.5
2016,New Jersey,Current smoking among adults aged >= 18 years,14
2016,Maine,Current smoking among adults aged >= 18 years,21.6
2016,New Mexico,Current smoking among adults aged >= 18 years,16.6
2016,New York,Current smoking among adults aged >= 18 years,14.2
2016,Pennsylvania,Current smoking among adults aged >= 18 years,18
2016,Rhode Island,Current smoking among adults aged >= 18 years,14.4
2016,South Carolina,Current smoking among adults aged >= 18 years,20
2016,South Dakota,Current smoking among adults aged >= 18 years,18.1
2016,Tennessee,Current smoking among adults aged >= 18 years,22.1
2016,Texas,Current smoking among adults aged >= 18 years,14.3
2016,Utah,Current smoking among adults aged >= 18 years,8.8
2016,Vermont,Current smoking among adults aged >= 18 years,17
2016,Virginia,Current smoking among adults aged >= 18 years,15.3
2016,Washington,Current smoking among adults aged >= 18 years,13.9
2016,North Carolina,Current smoking among adults aged >= 18 years,17.9
2016,West Virginia,Current smoking among adults aged >= 18 years,24.8
2016,North Dakota,Current smoking among adults aged >= 18 years,19.8
2016,Ohio,Current smoking among adults aged >= 18 years,22.5
2016,Oklahoma,Current smoking among adults aged >= 18 years,19.6
2016,Oregon,Current smoking among adults aged >= 18 years,16.2
2016,Idaho,Current smoking among adults aged >= 18 years,14.5
2016,Illinois,Current smoking among adults aged >= 18 years,15.8
2016,Indiana,Current smoking among adults aged >= 18 years,21.1
2016,Iowa,Current smoking among adults aged >= 18 years,16.7
2016,Kansas,Current smoking among adults aged >= 18 years,17.2
2016,United States,Current smoking among adults aged >= 18 years,17.1
2016,Alabama,Current smoking among adults aged >= 18 years,21.5
2016,Alaska,Current smoking among adults aged >= 18 years,19
2016,Arizona,Current smoking among adults aged >= 18 years,14.7
2016,Arkansas,Current smoking among adults aged >= 18 years,23.6
2016,California,Current smoking among adults aged >= 18 years,11
2016,Colorado,Current smoking among adults aged >= 18 years,15.6
2016,Connecticut,Current smoking among adults aged >= 18 years,13.3
2016,Delaware,Current smoking among adults aged >= 18 years,17.7
2016,District of Columbia,Current smoking among adults aged >= 18 years,14.7
2016,Florida,Current smoking among adults aged >= 18 years,15.5
2016,Georgia,Current smoking among adults aged >= 18 years,17.9
