State,Age,2010,2011,2012,2013,2014,,,Childhood (0Ð19),,,,,Young adult (20Ð39),,,,,Middle-aged adult (40Ð64,,,,,Senior years (65Ð84),,,,,Old (>85),,,,
Alabama,collapse this categoryTotal,"4,785,579","4,798,649","4,813,946","4,827,660","4,840,037",,Alabama,27,26,26,26,25,26,26,26,26,26,33,34,33,33,33,12,12,13,13,14,2,2,2,2,2
Alabama,Under 5 years,"304,266","302,802","299,194","294,541","293,552",,Alaska,29.18902264,28.84768483,28.36999282,28.03708127,27.8021714,28.7461748,28.96772487,29.45520473,30.04940551,30.31194733,34.28289322,34.12363155,33.62008689,32.92971931,32.37585153,7.114836523,7.372424573,7.847706359,8.244340084,8.728091547,0.667072821,0.688534168,0.707009202,0.739453825,0.781938191
Alabama,5 to 9 years,"307,245","304,638","305,697","306,895","306,281",,Arizona,28.33217471,27.81356952,27.44491276,27.1346184,26.84001261,26.83378279,26.84078913,26.86333005,26.86530664,26.88156972,30.95697488,31.12662184,30.88618322,30.6933939,30.49053633,12.24290237,12.52992814,13.06698393,13.52376406,13.95391143,1.634165246,1.689091373,1.73859003,1.782917007,1.833969911
Alabama,10 to 14 years,"320,128","321,545","319,737","316,772","313,855",,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,15 to 19 years,"340,838","329,869","323,668","320,926","318,496",,California,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,20 to 24 years,"337,771","346,637","353,245","356,560","354,041",,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,25 to 29 years,"311,153","309,985","309,585","311,340","316,332",,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,30 to 34 years,"299,441","304,220","306,478","307,713","307,513",,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,35 to 39 years,"306,598","296,362","292,346","291,317","292,385",,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,40 to 44 years,"311,600","314,408","316,148","315,598","311,477",,Florida,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,45 to 49 years,"345,437","337,098","327,674","318,951","311,537",,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,50 to 54 years,"347,912","348,972","347,051","345,719","344,504",,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,55 to 59 years,"314,043","320,433","327,547","332,627","334,722",,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,60 to 64 years,"278,298","289,656","287,499","289,263","293,695",,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,65 to 69 years,"210,710","214,746","231,415","239,877","250,023",,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,70 to 74 years,"161,560","164,567","169,760","177,893","183,948",,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,75 to 79 years,"123,130","124,783","126,412","129,672","133,056",,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,80 to 84 years,"89,209","90,022","90,302","90,206","90,879",,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,85 years and over,"76,240","77,906","80,188","81,790","83,741",,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,collapse this categoryTotal,"714,015","722,259","730,825","736,760","736,759",,Maine,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Under 5 years,"54,408","55,339","55,104","55,261","55,245",,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,5 to 9 years,"51,079","51,362","51,896","52,020","51,736",,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,10 to 14 years,"50,922","50,870","50,786","50,618","49,879",,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,15 to 19 years,"52,005","50,784","49,549","48,667","47,975",,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,20 to 24 years,"54,987","56,364","58,824","60,931","60,417",,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,25 to 29 years,"56,143","57,845","58,951","60,420","60,876",,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,30 to 34 years,"48,344","50,258","52,338","54,458","55,914",,Montana,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,35 to 39 years,"45,778","44,755","45,153","45,583","46,119",,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,40 to 44 years,"47,261","47,376","47,268","46,518","45,220",,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,45 to 49 years,"54,392","52,460","50,298","47,803","45,921",,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,50 to 54 years,"56,344","56,248","55,620","54,545","53,189",,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,55 to 59 years,"50,291","51,355","52,306","52,232","51,690",,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,60 to 64 years,"36,497","39,022","40,212","41,515","42,512",,New York,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,65 to 69 years,"22,461","23,509","25,907","27,492","29,199",,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,70 to 74 years,"13,374","14,321","15,445","16,675","18,005",,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,75 to 79 years,"8,922","9,186","9,575","10,047","10,431",,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,80 to 84 years,"6,044","6,232","6,426","6,527","6,670",,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,85 years and over,"4,763","4,973","5,167","5,448","5,761",,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,collapse this categoryTotal,"6,407,002","6,465,488","6,544,211","6,616,124","6,706,435",,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Under 5 years,"453,350","444,870","438,417","433,645","433,312",,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,5 to 9 years,"452,944","449,750","454,977","458,750","458,614",,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,10 to 14 years,"449,175","450,664","451,698","452,351","454,777",,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,15 to 19 years,"459,774","452,999","450,961","450,514","453,305",,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,20 to 24 years,"446,649","463,108","478,099","484,680","489,858",,Texas,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,25 to 29 years,"439,843","439,984","439,818","442,372","452,332",,Utah,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,30 to 34 years,"418,568","426,327","433,897","441,664","446,956",,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,35 to 39 years,"414,181","405,969","406,179","408,726","413,649",,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,40 to 44 years,"408,521","416,035","420,735","420,726","419,645",,Washington,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,45 to 49 years,"426,103","418,677","412,016","407,155","405,580",,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,50 to 54 years,"417,178","423,120","426,504","428,579","430,690",,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,
