Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Total,"308,745,538","151,781,326","156,964,212","308,758,105","151,788,777","156,969,328","309,338,421","152,082,993","157,255,428","311,644,280","153,242,210","158,402,070","313,993,272","154,452,348","159,540,924","316,234,505","155,596,820","160,637,685","318,622,525","156,807,419","161,815,106","321,039,839","158,048,153","162,991,686","323,405,935","159,243,817","164,162,118","325,719,178","160,408,119","165,311,059"
Under 5 years,"20,201,362","10,319,427","9,881,935","20,201,426","10,319,452","9,881,974","20,188,773","10,312,641","9,876,132","20,122,646","10,279,680","9,842,966","19,975,163","10,204,076","9,771,087","19,847,941","10,141,030","9,706,911","3,954,725","2,024,473","1,930,252","3,984,294","2,037,837","1,946,457","3,955,377","2,021,764","1,933,613","3,939,295","2,015,150","1,924,145"
5 to 9 years,"20,348,657","10,389,638","9,959,019","20,348,744","10,389,675","9,959,069","20,331,148","10,380,281","9,950,867","20,332,792","10,381,510","9,951,282","20,467,414","10,451,844","10,015,570","20,567,771","10,502,801","10,064,970","3,948,689","2,018,408","1,930,281","3,973,189","2,033,678","1,939,511","4,004,017","2,047,678","1,956,339","3,975,252","2,031,718","1,943,534"
10 to 14 years,"20,677,194","10,579,862","10,097,332","20,677,377","10,579,975","10,097,402","20,680,725","10,578,235","10,102,490","20,714,211","10,587,444","10,126,767","20,671,622","10,561,060","10,110,562","20,653,748","10,545,471","10,108,277","3,958,296","2,023,505","1,934,791","3,965,536","2,026,909","1,938,627","3,990,991","2,042,666","1,948,325","4,021,775","2,056,625","1,965,150"
15 to 19 years,"22,040,343","11,303,666","10,736,677","22,041,547","11,304,511","10,737,036","21,981,324","11,278,027","10,703,297","21,660,368","11,120,519","10,539,849","21,373,098","10,962,668","10,410,430","21,183,401","10,850,873","10,332,528","4,005,424","2,048,966","1,956,458","3,973,376","2,030,982","1,942,394","3,981,326","2,034,744","1,946,582","4,006,755","2,050,474","1,956,281"
20 to 24 years,"21,585,999","11,014,176","10,571,823","21,587,573","11,015,251","10,572,322","21,701,999","11,072,538","10,629,461","22,162,379","11,305,299","10,857,080","22,591,609","11,545,676","11,045,933","22,819,684","11,684,225","11,135,459","4,003,684","2,043,405","1,960,279","4,019,335","2,055,928","1,963,407","3,987,866","2,038,254","1,949,612","3,995,783","2,042,001","1,953,782"
25 to 29 years,"21,101,849","10,635,591","10,466,258","21,103,107","10,636,515","10,466,592","21,143,850","10,661,261","10,482,589","21,285,944","10,747,392","10,538,552","21,394,399","10,826,701","10,567,698","21,582,962","10,940,980","10,641,982","4,004,373","2,042,817","1,961,556","4,016,658","2,049,934","1,966,724","4,032,787","2,062,721","1,970,066","4,001,318","2,045,050","1,956,268"
30 to 34 years,"19,962,099","9,996,500","9,965,599","19,963,024","9,997,129","9,965,895","20,069,509","10,052,038","10,017,471","20,521,483","10,276,926","10,244,557","20,920,682","10,485,746","10,434,936","21,285,841","10,675,909","10,609,932","4,133,300","2,109,439","2,023,861","4,016,732","2,049,080","1,967,652","4,029,444","2,056,429","1,973,015","4,045,532","2,069,201","1,976,331"
35 to 39 years,"20,179,642","10,042,022","10,137,620","20,180,492","10,042,579","10,137,913","20,079,285","9,992,821","10,086,464","19,607,751","9,759,719","9,848,032","19,507,108","9,713,014","9,794,094","19,628,869","9,784,188","9,844,681","4,152,751","2,121,568","2,031,183","4,145,829","2,115,766","2,030,063","4,029,700","2,055,671","1,974,029","4,042,379","2,063,003","1,979,376"
40 to 44 years,"20,890,964","10,393,977","10,496,987","20,891,834","10,394,559","10,497,275","20,905,418","10,400,396","10,505,022","21,046,162","10,463,000","10,583,162","21,041,294","10,458,184","10,583,110","20,871,216","10,362,391","10,508,825","4,118,570","2,104,524","2,014,046","4,165,408","2,127,788","2,037,620","4,158,968","2,122,254","2,036,714","4,042,838","2,062,172","1,980,666"
45 to 49 years,"22,708,591","11,209,085","11,499,506","22,709,463","11,209,686","11,499,777","22,636,945","11,176,036","11,460,909","22,172,258","10,955,465","11,216,793","21,703,579","10,729,242","10,974,337","21,231,910","10,505,580","10,726,330","4,106,389","2,096,559","2,009,830","4,131,317","2,110,729","2,020,588","4,178,605","2,134,232","2,044,373","4,172,171","2,128,715","2,043,456"
50 to 54 years,"22,298,125","10,933,274","11,364,851","22,298,808","10,933,752","11,365,056","22,353,235","10,960,154","11,393,081","22,572,766","11,070,150","11,502,616","22,588,483","11,081,356","11,507,127","22,571,776","11,073,789","11,497,987","4,115,033","2,099,170","2,015,863","4,119,269","2,102,773","2,016,496","4,144,625","2,117,158","2,027,467","4,191,919","2,140,682","2,051,237"
