Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0100000US,,United States,24858794,21936806,1191984,702309,249346,85203,693146
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0100000US,,United States,132105418,100301335,19853611,1147502,7691693,246518,2864759
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0100000US,,United States,156964212,122238141,21045595,1849811,7941039,331721,3557905
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0100000US,,United States,25618800,22681299,1136129,773939,248654,92206,686573
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0100000US,,United States,126162526,97017621,18068911,1115756,6969823,250698,2739717
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0100000US,,United States,151781326,119698920,19205040,1889695,7218477,342904,3426290
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50477594,44618105,2328113,1476248,498000,177409,1379719
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258267944,197318956,37922522,2263258,14661516,497216,5604476
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308745538,241937061,40250635,3739506,15159516,674625,6984195
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0100000US,,United States,24859010,21936988,1192006,702315,249346,85203,693152
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0100000US,,United States,132110318,100305067,19854674,1147525,7691732,246524,2864796
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0100000US,,United States,156969328,122242055,21046680,1849840,7941078,331727,3557948
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0100000US,,United States,25619601,22682009,1136190,773950,248658,92208,686586
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0100000US,,United States,126169176,97021367,18071580,1115817,6969907,250709,2739796
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0100000US,,United States,151788777,119703376,19207770,1889767,7218565,342917,3426382
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50478611,44618997,2328196,1476265,498004,177411,1379738
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258279494,197326434,37926254,2263342,14661639,497233,5604592
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308758105,241945431,40254450,3739607,15159643,674644,6984330
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0100000US,,United States,25003115,22061963,1199330,705967,250721,85652,699482
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0100000US,,United States,132252313,100324287,19897951,1150322,7746191,247781,2885781
est72010,"July 1, 2010",female,Female,tothisp,Total,0100000US,,United States,157255428,122386250,21097281,1856289,7996912,333433,3585263
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0100000US,,United States,25749686,22792696,1143582,777707,250038,92677,692986
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0100000US,,United States,126333307,97064960,18116746,1118362,7019728,252051,2761460
est72010,"July 1, 2010",male,Male,tothisp,Total,0100000US,,United States,152082993,119857656,19260328,1896069,7269766,344728,3454446
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50752801,44854659,2342912,1483674,500759,178329,1392468
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258585620,197389247,38014697,2268684,14765919,499832,5647241
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0100000US,,United States,309338421,242243906,40357609,3752358,15266678,678161,7039709
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0100000US,,United States,25610583,22586379,1232828,721006,256671,87608,726091
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0100000US,,United States,132791487,100329071,20083953,1160934,7992191,252972,2972366
est72011,"July 1, 2011",female,Female,tothisp,Total,0100000US,,United States,158402070,122915450,21316781,1881940,8248862,340580,3698457
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0100000US,,United States,26302053,23262877,1177328,791907,255812,94723,719406
